texto,imagen_url
tiki_crew,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/356275690_222237530714162_5913143817380179153_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFl-YI84K7IB6DSZ43o_oqY6T_1r228p4yp0UqXxYKKGX-qPUp9FZgIxevhpjyd5nM&_nc_ohc=eduFdToXYX8Q7kNvwFkwe1d&_nc_gid=JOLvygV3QFGSkjaxkt0YUw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfItHO5w3FhPpLCgMkvZM3264g8s5S-zvAPXhtnz6-2eQA&oe=6831D899&_nc_sid=6ff7c8
laura___santillan,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/469586150_1630639980862864_2531524664215054355_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHZvCDddOTje3ZLMAhOXOM7n4kovjvf4DejR4uwedrIVDLjbxSb4Ur_5dDBtiYgVTc&_nc_ohc=y2kzW-sSBJoQ7kNvwElK3tL&_nc_gid=NdtQiiabe_cKz9j6FKV0tg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfJrJzDYQ-VX11f2HqVJk0gERGVR99nQvEQZlBDSoXJBdw&oe=6831F2E9&_nc_sid=6ff7c8
moncada_zuly,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/437505055_1095951111620597_8345655620315133380_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFgk5fxqq7Oi-LXbpPSAxajS6iE9k1rXbpY33404vZuYMR6ni6qCPfpogLiEIfIMiA&_nc_ohc=8P6r_npcUFEQ7kNvwGnrgWZ&_nc_gid=Iu0ONMbXJ0c1d0r7aNLM4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfKGOR2FGavvk5VGYuUZtd3o6Kw3_aMcl2jpqW5-Bb6umQ&oe=6831F4DC&_nc_sid=6ff7c8
cali_cuahutle,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/488246196_1391343725324797_5527644919454797684_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QFgk5fxqq7Oi-LXbpPSAxajS6iE9k1rXbpY33404vZuYMR6ni6qCPfpogLiEIfIMiA&_nc_ohc=w-pTNf2TpEkQ7kNvwGh-7iw&_nc_gid=Iu0ONMbXJ0c1d0r7aNLM4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfJZD2bP_r6H3EncK-U3q7Qbo2_ZlvBxdybXT0mzTsN3ZQ&oe=6831F7C4&_nc_sid=6ff7c8
high.zavala,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFgk5fxqq7Oi-LXbpPSAxajS6iE9k1rXbpY33404vZuYMR6ni6qCPfpogLiEIfIMiA&_nc_ohc=40BnSaa0ic4Q7kNvwFzudqw&_nc_gid=Iu0ONMbXJ0c1d0r7aNLM4w&edm=APQMUHMBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AfLDN-Hn43x9jGoYMLBzI5Omra-hVQbnmSzPxz1lGKPiOw&oe=6831D44F&_nc_sid=6ff7c8
ale.rram,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/491447183_18501879979024752_260311145462412240_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QFgk5fxqq7Oi-LXbpPSAxajS6iE9k1rXbpY33404vZuYMR6ni6qCPfpogLiEIfIMiA&_nc_ohc=siIn056uYO4Q7kNvwGlkQ9f&_nc_gid=Iu0ONMbXJ0c1d0r7aNLM4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfKfI0a9ngT9GQIO2PN-fK28Iyp62sHAjuQVHHFO5szC7Q&oe=6831F234&_nc_sid=6ff7c8
nikky_missdevil,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/449878825_893277165944890_5809485832689291920_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFgk5fxqq7Oi-LXbpPSAxajS6iE9k1rXbpY33404vZuYMR6ni6qCPfpogLiEIfIMiA&_nc_ohc=F9_bygS5DzIQ7kNvwEh7OFg&_nc_gid=Iu0ONMbXJ0c1d0r7aNLM4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfKtOXVwt4NLWbanzaMoesHuJntglWOd2swMnOEnYJ2WDw&oe=6831D01A&_nc_sid=6ff7c8
artesanalgreen,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/148297268_804447427116905_9221229808470473822_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFgk5fxqq7Oi-LXbpPSAxajS6iE9k1rXbpY33404vZuYMR6ni6qCPfpogLiEIfIMiA&_nc_ohc=ULAU_wlU2i8Q7kNvwHAK9u3&_nc_gid=Iu0ONMbXJ0c1d0r7aNLM4w&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfJ-qIExwM_AtxVroOFJD97ssZ8Afo3lAiIXS9EDJBwO0w&oe=6831CBA8&_nc_sid=6ff7c8
ianefloxo,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/491445211_1160969568843390_1509639401427721570_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHZvCDddOTje3ZLMAhOXOM7n4kovjvf4DejR4uwedrIVDLjbxSb4Ur_5dDBtiYgVTc&_nc_ohc=QPd9cS1MGw0Q7kNvwFTzCJe&_nc_gid=NdtQiiabe_cKz9j6FKV0tg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfLqOxVlK4XFIeRgebRFlTvSo3SyPSjWr9d6xUh2M6jzlw&oe=6831F35D&_nc_sid=6ff7c8
hanna_mejia_,https://scontent-lim1-1.cdninstagram.com/v/t51.2885-19/349440133_149654184671106_8938084140116354971_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lim1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHZvCDddOTje3ZLMAhOXOM7n4kovjvf4DejR4uwedrIVDLjbxSb4Ur_5dDBtiYgVTc&_nc_ohc=FLlTZSmo8KIQ7kNvwHwgN44&_nc_gid=NdtQiiabe_cKz9j6FKV0tg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfKAwgggtCqzJ6ygP4C6PDAgRRb5ekUNR3032Xs0f-8d6Q&oe=6831D8FA&_nc_sid=6ff7c8
